Dataset Name,Node Homophily Index
roman_empire,0.046047879669140535
texas,0.10370904141395945
cornell,0.10634025277071285
wisconsin,0.13410720894719325
chameleon,0.24901256982530767
amazon_ratings,0.37570721671033996
cora,0.5860540811502576
PT,0.6338485571475815
tolokers,0.6344469192887167
DE,0.6425342173324096
ES,0.6615035608051378
minesweeper,0.6829008333333356
CiteSeer,0.706249161762248
computers,0.785308474351687
PubMed,0.7924123137418564
Cora,0.8251578275927919
CS,0.8320007604872487
photo,0.8364913264388311
questions,0.8979855909818373
Physics,0.9152769878476997
