Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
GAT,Cora,LDS,7,92.84%,4.25%,7.01%
GAT,Cora,LDS,8,92.77%,4.24%,8.01%
GAT,Cora,LDS,9,93.43%,3.99%,9.02%
GAT,Cora,LDS,10,93.54%,3.77%,10.00%
GAT,Cora,LSS,1,94.11%,3.02%,1.00%
GAT,Cora,LSS,2,93.86%,3.60%,2.01%
GAT,Cora,LSS,3,93.91%,3.56%,3.01%
GAT,Cora,LSS,4,93.76%,3.32%,4.02%
GAT,Cora,LSS,5,93.06%,3.75%,5.00%
GAT,Cora,LSS,6,93.49%,3.79%,6.01%
GAT,Cora,LSS,7,94.19%,4.30%,7.01%
GAT,Cora,LSS,8,92.95%,4.02%,8.01%
GAT,Cora,LSS,9,93.36%,2.57%,9.02%
GAT,Cora,LSS,10,93.65%,3.34%,10.00%
GAT,Cora,SCAN,1,93.91%,4.05%,1.00%
GAT,Cora,SCAN,2,93.89%,3.27%,2.01%
GAT,Cora,SCAN,3,93.95%,3.81%,3.01%
GAT,Cora,SCAN,4,93.69%,3.44%,4.02%
GAT,Cora,SCAN,5,94.00%,3.61%,5.00%
GAT,Cora,SCAN,6,93.91%,3.97%,6.01%
GAT,Cora,SCAN,7,93.73%,3.22%,7.01%
GAT,Cora,SCAN,8,93.84%,3.85%,8.01%
GAT,Cora,SCAN,9,93.91%,3.78%,9.02%
GAT,Cora,SCAN,10,93.21%,3.61%,10.00%
