Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
SAGE,amazon_ratings,LSS,7,66.36%,12.15%,7.00%
SAGE,amazon_ratings,LSS,8,65.03%,12.35%,8.00%
SAGE,amazon_ratings,LSS,9,65.48%,12.21%,9.00%
SAGE,amazon_ratings,LSS,10,64.84%,12.10%,10.00%
SAGE,amazon_ratings,SCAN,1,65.28%,11.99%,1.00%
SAGE,amazon_ratings,SCAN,2,65.57%,12.19%,2.00%
SAGE,amazon_ratings,SCAN,3,66.09%,12.22%,3.00%
SAGE,amazon_ratings,SCAN,4,65.12%,11.85%,4.00%
SAGE,amazon_ratings,SCAN,5,66.22%,12.72%,5.00%
SAGE,amazon_ratings,SCAN,6,65.47%,11.78%,6.00%
SAGE,amazon_ratings,SCAN,7,66.33%,12.02%,7.00%
SAGE,amazon_ratings,SCAN,8,63.95%,11.59%,8.00%
SAGE,amazon_ratings,SCAN,9,65.66%,11.99%,9.00%
SAGE,amazon_ratings,SCAN,10,67.31%,12.03%,10.00%
GAT,amazon_ratings,NoSparsification,None,53.02%,5.38%,N/A
GAT,amazon_ratings,PreferentialAttachment,1,53.18%,4.88%,1.00%
GAT,amazon_ratings,PreferentialAttachment,2,53.17%,4.77%,2.00%
GAT,amazon_ratings,PreferentialAttachment,3,53.01%,5.18%,3.00%
GAT,amazon_ratings,PreferentialAttachment,4,52.71%,4.99%,4.00%
GAT,amazon_ratings,PreferentialAttachment,5,52.90%,5.31%,5.00%
GAT,amazon_ratings,PreferentialAttachment,6,53.51%,5.29%,6.00%
GAT,amazon_ratings,PreferentialAttachment,7,52.95%,5.38%,7.00%
GAT,amazon_ratings,PreferentialAttachment,8,53.00%,5.40%,8.00%
GAT,amazon_ratings,PreferentialAttachment,9,53.63%,5.42%,9.00%
GAT,amazon_ratings,PreferentialAttachment,10,53.37%,5.76%,10.00%
GAT,amazon_ratings,AdjustedRand,1,52.74%,4.85%,1.00%
GAT,amazon_ratings,AdjustedRand,2,52.53%,5.00%,2.00%
GAT,amazon_ratings,AdjustedRand,3,52.87%,4.45%,3.00%
GAT,amazon_ratings,AdjustedRand,4,52.63%,4.93%,4.00%
GAT,amazon_ratings,AdjustedRand,5,52.54%,5.21%,5.00%
GAT,amazon_ratings,AdjustedRand,6,52.75%,4.80%,6.00%
GAT,amazon_ratings,AdjustedRand,7,52.53%,5.08%,7.00%
GAT,amazon_ratings,AdjustedRand,8,53.45%,5.12%,8.00%
GAT,amazon_ratings,AdjustedRand,9,53.71%,4.43%,9.00%
GAT,amazon_ratings,AdjustedRand,10,53.24%,4.77%,10.00%
GAT,amazon_ratings,LDS,1,52.53%,5.01%,1.00%
GAT,amazon_ratings,LDS,2,52.98%,5.07%,2.00%
GAT,amazon_ratings,LDS,3,52.48%,5.21%,3.00%
GAT,amazon_ratings,LDS,4,52.36%,4.73%,4.00%
GAT,amazon_ratings,LDS,5,52.94%,4.79%,5.00%
GAT,amazon_ratings,LDS,6,52.75%,4.55%,6.00%
GAT,amazon_ratings,LDS,7,52.11%,4.92%,7.00%
GAT,amazon_ratings,LDS,8,52.93%,5.09%,8.00%
GAT,amazon_ratings,LDS,9,52.57%,4.61%,9.00%
GAT,amazon_ratings,LDS,10,52.58%,4.87%,10.00%
GAT,amazon_ratings,LSS,1,53.13%,4.80%,1.00%
GAT,amazon_ratings,LSS,2,52.99%,5.04%,2.00%
GAT,amazon_ratings,LSS,3,52.94%,4.97%,3.00%
GAT,amazon_ratings,LSS,4,52.99%,4.82%,4.00%
GAT,amazon_ratings,LSS,5,52.40%,5.07%,5.00%
GAT,amazon_ratings,LSS,6,52.89%,5.37%,6.00%
GAT,amazon_ratings,LSS,7,53.07%,5.07%,7.00%
GAT,amazon_ratings,LSS,8,53.12%,4.97%,8.00%
GAT,amazon_ratings,LSS,9,53.49%,5.45%,9.00%
GAT,amazon_ratings,LSS,10,52.95%,4.94%,10.00%
GAT,amazon_ratings,SCAN,1,53.06%,4.71%,1.00%
GAT,amazon_ratings,SCAN,2,53.13%,5.06%,2.00%
GAT,amazon_ratings,SCAN,3,53.05%,5.22%,3.00%
GAT,amazon_ratings,SCAN,4,53.09%,4.79%,4.00%
GAT,amazon_ratings,SCAN,5,52.54%,5.32%,5.00%
GAT,amazon_ratings,SCAN,6,52.96%,4.40%,6.00%
GAT,amazon_ratings,SCAN,7,52.59%,5.55%,7.00%
GAT,amazon_ratings,SCAN,8,52.57%,5.22%,8.00%
GAT,amazon_ratings,SCAN,9,52.51%,4.93%,9.00%
GAT,amazon_ratings,SCAN,10,52.35%,4.73%,10.00%
